appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,tags,positive_ratings,negative_ratings,total reviews,review_rating,average_playtime,median_playtime,owners,price
570,Dota 2,2013-07-09,1,Valve,Valve,windows;mac;linux,0,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Action;Strategy;Free to Play,Free to Play;MOBA;Multiplayer,1820456,402016,2222472,8.0,41268,894,200000000-500000000,0.0
630,Alien Swarm,2010-07-19,1,Valve,Valve,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor;Remote Play Together,Action,Free to Play;Co-op;Action,19909,1077,20986,9.0,423,114,2000000-5000000,0.0
730,Counter-Strike 2,2012-08-21,1,Valve,Valve,windows;linux,0,Multi-player;Cross-Platform Multiplayer;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats;Remote Play on Phone;Remote Play on Tablet;Remote Play on TV,Action;Free to Play,FPS;Shooter;Multiplayer,6993686,1020377,8014063,9.0,28665,5448,100000000-200000000,0.0
1250,Killing Floor,2009-05-14,1,Tripwire Interactive,Tripwire Interactive,windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor;Family Sharing,Action,FPS;Zombies;Co-op,62193,3283,65476,9.0,1321,276,2000000-5000000,14.99
1840,Source Filmmaker,2012-07-10,1,Valve,Valve,windows,0,Steam Workshop,Animation & Modeling;Video Production,Animation & Modeling;Free to Play;Video Production,34545,2558,37103,9.0,1424,63,2000000-5000000,0.0
2100,Dark Messiah of Might & Magic,2006-10-25,1,Arkane Studios,Ubisoft,windows,0,Single-player;Multi-player;Valve Anti-Cheat enabled;Family Sharing,Action;RPG,RPG;First-Person;Action,8881,850,9731,9.0,196,56,1000000-2000000,4.29
2280,DOOM (1993),2007-08-03,1,id Software,id Software,windows,0,Single-player;Multi-player;PvP;Shared/Split Screen PvP;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Full controller support;Steam Cloud;Remote Play Together;Family Sharing,Action,FPS;Classic;Action,16878,535,17413,10.0,115,28,1000000-2000000,3.99
2310,Quake,2007-08-03,1,id Software;Nightdive Studios;MachineGames,Bethesda Softworks,windows,18,Single-player;Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Co-op;Online Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Full controller support;Steam Cloud;Remote Play Together;Family Sharing,Action,FPS;Classic;Action,12803,465,13268,10.0,510,308,1000000-2000000,7.99
2400,The Ship: Murder Party,2006-07-11,1,Outerlight Ltd.,Blazing Griffin,windows,0,Single-player;Multi-player;PvP;Online PvP;LAN PvP;Steam Trading Cards;Valve Anti-Cheat enabled;Family Sharing,Action;Indie;RPG,Multiplayer;Indie;First-Person,5088,841,5929,9.0,241,164,1000000-2000000,6.99
2630,Call of Duty® 2,2006-10-13,1,Infinity Ward,Activision,windows;mac,0,Single-player;Multi-player;Family Sharing,Action,Action;World War II;FPS,8755,602,9357,9.0,472,447,5000000-10000000,14.99
