appid,name,positive,negative,owners,average_forever,median_forever,languages,tags,total reviews,review_rating
570,Dota 2,1820456,402016,200000000-500000000,41268,894,"English, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Spanish - Latin America, Vietnamese",Free to Play;MOBA;Multiplayer,2222472,8.0
620,Portal 2,384869,4953,10000000-20000000,847,489,"English, French, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Greek, Portuguese - Brazil, Spanish - Latin America, Ukrainian",Platformer;Puzzle;First-Person,389822,10.0
630,Alien Swarm,19909,1077,2000000-5000000,423,114,English,Free to Play;Co-op;Action,20986,9.0
730,Counter-Strike: Global Offensive,6993686,1020377,100000000-200000000,28665,5448,"English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnamese",FPS;Shooter;Multiplayer,8014063,9.0
1250,Killing Floor,62193,3283,2000000-5000000,1321,276,"English, French, Italian, German, Spanish - Spain, Hungarian, Polish, Russian",FPS;Zombies;Co-op,65476,9.0
1840,Source Filmmaker,34545,2558,2000000-5000000,1424,63,English,Animation & Modeling;Free to Play;Video Production,37103,9.0
2100,Dark Messiah of Might & Magic,8881,850,1000000-2000000,196,56,"English, French, German, Italian, Spanish - Spain",RPG;First-Person;Action,9731,9.0
2280,DOOM (1993),16878,535,1000000-2000000,115,28,"English, French, Italian, German, Spanish - Spain",FPS;Classic;Action,17413,10.0
2310,Quake,12803,465,1000000-2000000,510,308,"English, French, Italian, German, Spanish - Spain, Russian",FPS;Classic;Action,13268,10.0
2400,The Ship: Murder Party,5088,841,1000000-2000000,241,164,"English, French, German, Italian, Spanish - Spain, Polish, Russian, Japanese",Multiplayer;Indie;First-Person,5929,9.0
2630,Call of Duty 2,8755,602,5000000-10000000,472,447,"English, French, German, Italian, Spanish - Spain",Action;World War II;FPS,9357,9.0
3590,Plants vs. Zombies GOTY Edition,121303,3045,5000000-10000000,1302,623,English,Tower Defense;Zombies;Strategy,124348,10.0
3830,Psychonauts,15849,808,2000000-5000000,311,129,"English, French, German",Platformer;Comedy;Adventure,16657,10.0
3900,Sid Meier's Civilization IV,2831,215,1000000-2000000,194,14,"English, French, German, Italian, Spanish - Spain",Strategy;Turn-Based Strategy;Turn-Based,3046,9.0
3910,Sid Meier's Civilization III Complete,5882,692,1000000-2000000,1132,19,English,Strategy;Turn-Based Strategy;Turn-Based,6574,9.0
4000,Garry's Mod,1027444,34543,20000000-50000000,9136,1223,"English, French, Italian, German, Spanish - Spain, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian",Sandbox;Moddable;Multiplayer,1061987,10.0
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,37754,2152,1000000-2000000,550,153,"English, French, Italian, Spanish - Spain, German, Russian, Ukrainian, Polish, Traditional Chinese",Atmospheric;Post-apocalyptic;Open World,39906,9.0
4560,Company of Heroes - Legacy Edition,6301,423,2000000-5000000,1043,81,"English, French, Spanish - Spain, Italian, German, Czech, Japanese, Korean, Polish, Russian, Traditional Chinese",Strategy;World War II;RTS,6724,9.0
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition",9217,456,1000000-2000000,267,85,"English, French, German, Italian, Spanish - Spain",Strategy;Warhammer 40K;RTS,9673,10.0
4580,"Warhammer 40,000: Dawn of War - Dark Crusade",7736,271,1000000-2000000,1053,423,"English, French, German, Italian, Spanish - Spain",Strategy;Warhammer 40K;RTS,8007,10.0
4700,Total War: MEDIEVAL II – Definitive Edition,29317,1306,1000000-2000000,11109,621,"English, French, Italian, German, Spanish - Spain, Czech, Hungarian, Polish, Russian",Strategy;Medieval;Historical,30623,10.0
4760,Rome: Total War - Collection,14714,849,1000000-2000000,1222,486,English,Strategy;Historical;Rome,15563,9.0
4920,Natural Selection 2,11043,1897,1000000-2000000,322,158,"English, French, German, Spanish - Spain, Polish, Russian, Finnish, Romanian, Swedish, Czech",Multiplayer;Strategy;FPS,12940,9.0
6000,STAR WARS Republic Commando,14243,630,1000000-2000000,327,116,"English, French, German, Spanish - Spain",FPS;Action;Tactical,14873,10.0
6020,STAR WARS Jedi Knight - Jedi Academy,12198,497,1000000-2000000,363,84,"English, French, German, Spanish - Spain",Action;Sci-fi;Third Person,12695,10.0
6060,"STAR WARS Battlefront II (Classic, 2005)",49269,2841,2000000-5000000,321,162,English,Action;Multiplayer;Shooter,52110,9.0
6850,Hitman 2: Silent Assassin,2985,582,1000000-2000000,246,18,English,Stealth;Action;Third Person,3567,8.0
