appid,1980s,1990s,2.5d,2d,3d,3d_platformer,3d_vision,4x,action,action_rpg,action_adventure,addictive,adventure,aliens,alternate_history,animation_&_modeling,anime,arena_shooter,assassin,atmospheric,base_building,based_on_a_novel,benchmark,boomer_shooter,building,bullet_time,cartoon,cartoony,casual,character_customization,cinematic,city_builder,class_based,classic,co_op,collectathon,comedy,competitive,conspiracy,controller,crafting,crime,cult_classic,cute,cyberpunk,dark,dark_comedy,dark_fantasy,dark_humor,demons,difficult,diplomacy,dystopian_,economy,epic,episodic,exploration,fps,family_friendly,fantasy,fast_paced,female_protagonist,fighting,first_person,free_to_play,funny,futuristic,games_workshop,gore,grand_strategy,great_soundtrack,hack_and_slash,hentai,hero_shooter,historical,horror,immersive,immersive_sim,indie,inventory_management,isometric,level_editor,local_co_op,local_multiplayer,moba,magic,management,massively_multiplayer,masterpiece,medieval,memes,military,mod,moddable,movie,multiplayer,multiple_endings,mystery,nostalgia,old_school,online_co_op,open_world,physics,platformer,post_apocalyptic,psychological,psychological_horror,puzzle,puzzle_platformer,pve,pvp,rpg,rts,real_time_tactics,real_time,realistic,remake,replay_value,resource_management,retro,robots,rome,sandbox,sci_fi,science,score_attack,sexual_content,shooter,short,silent_protagonist,simulation,singleplayer,software,space,sports,stealth,story_rich,strategy,stylized,surreal,survival,survival_horror,swordplay,tactical,tanks,team_based,third_person,third_person_shooter,top_down,top_down_shooter,touch_friendly,tower_defense,trading,turn_based,turn_based_strategy,video_production,violent,war,warhammer_40k,world_war_i,world_war_ii,zombies,e_sports
2100,0,0,0,0,0,0,0,0,410,118,0,0,236,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,455,0,0,0,0,95,0,0,95,0,0,0,0,0,91,0,0,0,0,0,0,0,225,0,0,0,118,0,0,0,0,0,70,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,143,113,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2280,0,309,133,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,109,0,0,0,0,0,0,514,0,0,171,0,0,209,0,0,0,0,207,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,128,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,165,0,0,0,226,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0
2310,0,191,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,62,0,114,0,0,0,95,0,0,0,0,0,0,0,0,0,385,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,124,0,0,162,0,0,0,0,161,0,129,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,184,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,108,0,0,0,242,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,0,0,0,0,0,0,0,0,150,0,0,0,41,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,54,0,0,0,0,0,155,0,81,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,44,0,0,53,52,0,0,0,140,0,41,28,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2630,0,0,0,0,0,0,0,0,227,0,0,0,19,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,11,0,0,0,0,131,19,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,192,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,8,181,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,224,7,0
3590,0,0,0,456,0,0,0,0,0,0,0,305,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,0,460,0,0,465,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,363,0,0,0,0,448,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,0,0,0,0,0,931,0,0,278,0,0,225,0,0,0,0,0,0,133,1342,0,0,0,0,0,0,0,0,0,1191,0
3830,0,0,0,0,59,305,28,0,393,0,71,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,270,0,105,594,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,356,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,215,0,0,120,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3900,0,0,0,0,0,0,0,149,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,32,0,0,0,129,0,0,0,0,0,0,0,0,6,0,0,22,0,0,0,0,0,0,68,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,40,0,0,0,0,0,0,0,0,0,0,0,40,90,0,0,0,0,0,297,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,177,210,0,0,31,0,0,0,0,0
3910,0,0,0,0,0,0,0,119,0,0,0,44,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,118,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,57,0,0,0,75,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,59,93,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,216,0,0,17,0,0,0,0,0
4000,0,0,0,0,0,0,0,0,12696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14215,0,0,0,13055,0,0,0,0,0,12714,0,12693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8849,12713,0,0,0,0,0,12743,0,12747,0,0,0,0,0,0,0,0,0,0,0,0,12663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14248,0,14241,0,0,0,0,12728,0,14232,0,0,0,0,0,0,0,8895,0,0,0,0,8876,0,0,0,0,0,0,18369,0,0,0,0,12698,0,0,12711,12750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
