appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
4560,Company of Heroes - Legacy Edition,Relic Entertainment,SEGA,,6301,423,0,"2,000,000 .. 5,000,000",1043,0,81,0,1999,1999,0,"English, French, Spanish - Spain, Italian, German, Czech, Japanese, Korean, Polish, Russian, Traditional Chinese","Action, Strategy",92,"{'Strategy': 560, 'World War II': 464, 'RTS': 458, 'Multiplayer': 275, 'Military': 272, 'Action': 262, 'Tactical': 254, 'Singleplayer': 243, 'War': 195, 'Base-Building': 185, 'Historical': 153, 'Tanks': 143, 'Moddable': 99, 'Co-op': 97, 'Simulation': 69, 'Epic': 52, 'Classic': 39, 'Team-Based': 34, 'Addictive': 30, 'Adventure': 24}"
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition",Relic Entertainment,SEGA,,9217,456,0,"1,000,000 .. 2,000,000",267,464,85,464,1299,1299,0,"English, French, German, Italian, Spanish - Spain",Strategy,84,"{'Strategy': 382, 'Warhammer 40K': 309, 'RTS': 308, 'Base-Building': 202, 'Sci-fi': 165, 'Multiplayer': 158, 'Real-Time': 128, 'Games Workshop': 127, 'Tactical': 116, 'Singleplayer': 115, 'War': 79, 'Classic': 67, 'Action': 60, 'Gore': 40, 'Great Soundtrack': 29, 'Fantasy': 29, 'Epic': 28, 'Story Rich': 26, 'Futuristic': 26, 'Dark': 9}"
4580,"Warhammer 40,000: Dawn of War - Dark Crusade",Relic Entertainment,SEGA,,7736,271,0,"1,000,000 .. 2,000,000",1053,0,423,0,1299,1299,0,"English, French, German, Italian, Spanish - Spain",Strategy,287,"{'Strategy': 295, 'Warhammer 40K': 265, 'RTS': 222, 'Base-Building': 155, 'Sci-fi': 136, 'Multiplayer': 133, 'Singleplayer': 105, 'Games Workshop': 100, 'Real-Time': 86, 'Classic': 81, 'War': 67, 'Action': 48, 'Tactical': 46, 'Atmospheric': 38, 'Gore': 36, 'Co-op': 33, 'Fantasy': 28, 'Space': 23, 'Adventure': 17, 'Nostalgia': 7}"
4700,Total War: MEDIEVAL II – Definitive Edition,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",,29317,1306,0,"1,000,000 .. 2,000,000",11109,1336,621,1654,2499,2499,0,"English, French, Italian, German, Spanish - Spain, Czech, Hungarian, Polish, Russian",Strategy,3912,"{'Strategy': 679, 'Medieval': 486, 'Historical': 369, 'Turn-Based Strategy': 329, 'Grand Strategy': 304, 'War': 275, 'RTS': 261, 'Tactical': 225, 'Multiplayer': 196, 'Singleplayer': 196, 'Moddable': 157, 'Military': 152, 'Turn-Based': 144, 'Real Time Tactics': 139, 'Classic': 120, 'Simulation': 102, 'Action': 78, 'Sandbox': 71, 'Great Soundtrack': 62, '4X': 37}"
4760,Rome: Total War - Collection,CREATIVE ASSEMBLY,SEGA,,14714,849,0,"1,000,000 .. 2,000,000",1222,0,486,0,0,0,0,English,Strategy,911,"{'Strategy': 530, 'Historical': 324, 'Rome': 295, 'Turn-Based Strategy': 273, 'RTS': 236, 'Grand Strategy': 229, 'Classic': 205, 'Tactical': 188, 'War': 173, 'Great Soundtrack': 149, 'Multiplayer': 144, 'Singleplayer': 139, 'Turn-Based': 132, 'Moddable': 116, 'Real Time Tactics': 89, 'Action': 54, 'Atmospheric': 50, 'Simulation': 44, '4X': 38, 'Nostalgia': 21}"
4920,Natural Selection 2,Unknown Worlds Entertainment,Unknown Worlds Entertainment,,11043,1897,0,"1,000,000 .. 2,000,000",322,0,158,0,499,499,0,"English, French, German, Spanish - Spain, Polish, Russian, Finnish, Romanian, Swedish, Czech","Action, Indie, Strategy",113,"{'Multiplayer': 637, 'Strategy': 607, 'FPS': 595, 'Team-Based': 520, 'Action': 468, 'Sci-fi': 399, 'RTS': 386, 'Aliens': 335, 'Indie': 312, 'Competitive': 266, 'Shooter': 220, 'Co-op': 193, 'Tactical': 181, 'Moddable': 178, 'First-Person': 154, 'Space': 128, 'Futuristic': 121, 'Atmospheric': 117, 'Online Co-Op': 112, 'Adventure': 45}"
6000,STAR WARS Republic Commando,LucasArts,"LucasArts, Lucasfilm, Disney",,14243,630,0,"1,000,000 .. 2,000,000",327,0,116,0,999,999,0,"English, French, German, Spanish - Spain",Action,46,"{'FPS': 419, 'Action': 409, 'Tactical': 341, 'Sci-fi': 287, 'Singleplayer': 279, 'Shooter': 252, 'First-Person': 213, 'Classic': 209, 'Multiplayer': 191, 'Great Soundtrack': 170, 'Atmospheric': 153, 'Space': 148, 'Epic': 132, 'Adventure': 124, 'Team-Based': 123, 'War': 114, 'Co-op': 93, 'Strategy': 91, 'Dark': 60, 'Futuristic': 45}"
6020,STAR WARS Jedi Knight - Jedi Academy,Raven Software,"LucasArts, Lucasfilm, Disney",,12198,497,0,"1,000,000 .. 2,000,000",363,0,84,0,999,999,0,"English, French, German, Spanish - Spain",Action,99,"{'Action': 249, 'Sci-fi': 163, 'Third Person': 152, 'Multiplayer': 150, 'Classic': 137, 'Singleplayer': 127, 'Swordplay': 123, 'Character Customization': 118, 'Moddable': 117, 'FPS': 112, 'Adventure': 108, 'Shooter': 104, 'First-Person': 76, 'RPG': 75, 'Third-Person Shooter': 60, 'Great Soundtrack': 53, 'Hack and Slash': 47, 'Fighting': 40, 'Female Protagonist': 36, 'Story Rich': 21}"
6060,"STAR WARS Battlefront II (Classic, 2005)",Pandemic Studios,"Lucasfilm, LucasArts, Disney",,49269,2841,0,"2,000,000 .. 5,000,000",321,0,162,0,999,999,0,English,Action,206,"{'Action': 863, 'Multiplayer': 790, 'Shooter': 725, 'Classic': 717, 'Third-Person Shooter': 716, 'Sci-fi': 707, 'Space': 690, 'FPS': 629, 'First-Person': 490, 'Singleplayer': 441, 'Moddable': 388, 'Third Person': 369, 'Military': 356, 'Co-op': 272, 'Tactical': 260, 'Great Soundtrack': 250, 'Strategy': 240, 'Adventure': 200, 'Addictive': 173, 'Epic': 168}"
6850,Hitman 2: Silent Assassin,Io-Interactive A/S,Io-Interactive A/S,,2985,582,0,"1,000,000 .. 2,000,000",246,0,18,0,179,899,80,English,Action,32,"{'Stealth': 202, 'Action': 143, 'Third Person': 90, 'Assassin': 85, 'Singleplayer': 77, 'Classic': 76, 'Shooter': 57, 'Sandbox': 44, 'Great Soundtrack': 40, 'Old School': 34, 'Difficult': 28, 'Gore': 23, 'Adventure': 22, 'First-Person': 21, 'FPS': 19, 'Crime': 18, 'Third-Person Shooter': 14, 'Atmospheric': 14, 'Tactical': 14, 'Story Rich': 10}"
