appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
220,Half-Life 2,Valve,Valve,,186154,4540,0,"5,000,000 .. 10,000,000",654,128,278,128,999,999,0,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese - Portugal, Swedish, Thai",Action,988,"{'FPS': 4092, 'Action': 2925, 'Sci-fi': 2572, 'Classic': 2346, 'Singleplayer': 2293, 'Story Rich': 1995, 'Shooter': 1797, 'First-Person': 1680, 'Adventure': 1432, 'Dystopian ': 1289, 'Atmospheric': 1186, 'Zombies': 1100, 'Silent Protagonist': 1098, 'Physics': 1057, 'Aliens': 1019, 'Great Soundtrack': 1007, 'Horror': 885, 'Puzzle': 791, 'Multiplayer': 780, 'Moddable': 580}"
240,Counter-Strike: Source,Valve,Valve,,163149,6282,0,"10,000,000 .. 20,000,000",6257,115,336,31,999,999,0,"English, French, German, Italian, Japanese, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Turkish",Action,10830,"{'Shooter': 5313, 'FPS': 3187, 'Action': 3173, 'Multiplayer': 2545, 'Team-Based': 1705, 'First-Person': 1509, 'Competitive': 1363, 'Tactical': 1354, 'PvP': 1039, 'e-sports': 979, 'Military': 775, 'War': 655, 'Strategy': 527, 'Moddable': 511, 'Singleplayer': 411, 'Difficult': 397, 'Atmospheric': 308, 'Survival': 286, 'Simulation': 248, 'Sandbox': 211}"
280,Half-Life: Source,Valve,Valve,,10496,4519,0,"2,000,000 .. 5,000,000",179,0,53,0,999,999,0,"English, French, German, Italian, Japanese, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Korean",Action,34,"{'FPS': 397, 'Action': 295, 'Classic': 238, 'Sci-fi': 217, 'Singleplayer': 210, 'First-Person': 187, 'Shooter': 183, 'Aliens': 157, ""1990's"": 130, 'Zombies': 127, 'Story Rich': 119, 'Adventure': 102, 'Remake': 95, 'Atmospheric': 90, 'Multiplayer': 67, 'Silent Protagonist': 67, 'Horror': 62, 'Great Soundtrack': 52, 'Moddable': 48, 'Gore': 25}"
300,Day of Defeat: Source,Valve,Valve,,19696,1804,0,"5,000,000 .. 10,000,000",1031,0,171,0,999,999,0,English,Action,388,"{'FPS': 648, 'World War II': 511, 'Multiplayer': 360, 'Action': 330, 'Shooter': 306, 'Military': 248, 'Team-Based': 244, 'War': 241, 'First-Person': 188, 'Historical': 157, 'Class-Based': 149, 'Classic': 139, 'Tactical': 122, 'Realistic': 101, 'Online Co-Op': 71, 'Gore': 49, 'Strategy': 48, 'Massively Multiplayer': 36, 'Simulation': 31, 'Comedy': 20}"
320,Half-Life 2: Deathmatch,Valve,Valve,,11529,1180,0,"10,000,000 .. 20,000,000",362,0,56,0,499,499,0,English,Action,189,"{'Action': 878, 'FPS': 492, 'Multiplayer': 421, 'Shooter': 270, 'First-Person': 253, 'Sci-fi': 191, 'Physics': 189, 'Competitive': 151, 'Funny': 112, 'Co-op': 100, 'Old School': 95, 'PvP': 77, 'Arena Shooter': 60, 'Moddable': 48, 'Atmospheric': 46, 'Adventure': 34, 'Great Soundtrack': 26, 'Singleplayer': 22, 'Online Co-Op': 15, 'Mod': 15}"
340,Half-Life 2: Lost Coast,Valve,Valve,,11582,1415,0,"20,000,000 .. 50,000,000",25,0,18,0,0,0,0,"English, French, German, Italian, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Korean",Action,17,"{'FPS': 1032, 'Action': 365, 'Singleplayer': 315, 'First-Person': 256, 'Sci-fi': 251, 'Shooter': 227, 'Short': 223, 'Aliens': 124, 'Dystopian ': 115, 'Classic': 113, 'Adventure': 109, 'Benchmark': 98, 'Atmospheric': 97, 'Futuristic': 92, 'Silent Protagonist': 88, 'Free to Play': 63, 'Multiplayer': 44, 'Post-apocalyptic': 44, 'Story Rich': 43, 'Great Soundtrack': 38}"
360,Half-Life Deathmatch: Source,Valve,Valve,,3005,1045,0,"5,000,000 .. 10,000,000",23,0,8,0,999,999,0,English,Action,11,"{'Action': 248, 'FPS': 165, 'Multiplayer': 129, 'Shooter': 99, 'Sci-fi': 88, 'First-Person': 79, 'Classic': 74, 'Remake': 27, 'Adventure': 17, 'Fast-Paced': 15, 'Competitive': 15, 'Horror': 11, 'Atmospheric': 10, 'Singleplayer': 10, 'Gore': 6}"
380,Half-Life 2: Episode One,Valve,Valve,,28256,1266,0,"2,000,000 .. 5,000,000",231,0,188,0,799,799,0,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese - Portugal, Swedish, Thai",Action,135,"{'FPS': 749, 'Action': 538, 'Sci-fi': 471, 'Singleplayer': 413, 'Story Rich': 323, 'First-Person': 323, 'Shooter': 310, 'Classic': 289, 'Dystopian ': 249, 'Aliens': 236, 'Adventure': 234, 'Zombies': 234, 'Episodic': 177, 'Atmospheric': 174, 'Silent Protagonist': 170, 'Great Soundtrack': 168, 'Short': 153, 'Puzzle': 121, 'Cinematic': 103, 'Moddable': 78}"
400,Portal,Valve,Valve,,153201,2347,0,"10,000,000 .. 20,000,000",258,28,159,28,999,999,0,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Bulgarian, Czech, Greek, Hungarian, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Turkish, Ukrainian",Action,471,"{'Puzzle': 4180, 'Puzzle-Platformer': 3150, 'First-Person': 2512, '3D Platformer': 2453, 'Singleplayer': 2153, 'Sci-fi': 1986, 'Comedy': 1617, 'Female Protagonist': 1544, 'Physics': 1103, 'Funny': 1088, 'Action': 1056, 'Classic': 890, 'Story Rich': 884, 'Platformer': 837, 'Science': 812, 'Atmospheric': 709, 'Dark Humor': 692, 'FPS': 672, 'Short': 668, 'Adventure': 648}"
420,Half-Life 2: Episode Two,Valve,Valve,,38118,1152,0,"5,000,000 .. 10,000,000",389,0,309,0,799,799,0,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese",Action,207,"{'FPS': 932, 'Action': 688, 'Sci-fi': 579, 'Singleplayer': 518, 'Shooter': 455, 'Story Rich': 408, 'First-Person': 403, 'Classic': 370, 'Adventure': 325, 'Aliens': 307, 'Atmospheric': 275, 'Zombies': 270, 'Silent Protagonist': 264, 'Great Soundtrack': 229, 'Dystopian ': 228, 'Post-apocalyptic': 206, 'Episodic': 169, 'Puzzle': 163, 'Horror': 145, 'Multiplayer': 101}"
